yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,1B,2B,3B,HR,BB,SO,SB,CS,HBP,SF,BA,OBP,SLG,OPS,RA,ER,ERA,ERA+,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,AL,NYA,NYY,E,1,161,80,87,74,Y,N,Y,Y,871,5556,1541,1017,294,25,205,631,1007,99,48,57,50,0.277357811,0.354146806,0.449964003,0.804110809,814,753,4.76,98.00917917,9,6,40,4273,1458,177,577,1040,109,132,0.981,New York Yankees,Yankee Stadium II,3055435,99,98,NYY,NYA,NYA
2000,NL,NYN,NYM,E,2,162,81,94,68,N,Y,Y,N,807,5486,1445,946,281,20,198,675,1037,66,46,45,51,0.26339774,0.346012466,0.430185928,0.776198394,738,670,4.16,109.0081893,8,10,49,4350,1398,164,574,1164,118,121,0.98,New York Mets,Shea Stadium,2820530,96,96,NYM,NYN,NYN
2000,AL,OAK,OAK,W,1,161,81,91,70,Y,N,N,N,947,5560,1501,958,281,23,239,750,1159,40,15,52,44,0.269964029,0.359506712,0.457733813,0.817240525,813,730,4.58,98.76700571,7,11,43,4306,1535,158,615,963,134,164,0.978,Oakland Athletics,Oakland Coliseum,1603744,96,95,OAK,OAK,OAK
2000,NL,PHI,PHI,E,5,162,81,65,97,N,N,N,N,708,5511,1386,898,304,40,144,611,1117,102,30,44,37,0.251497006,0.329034338,0.399564507,0.728598846,830,763,4.77,100.8307074,8,6,34,4316,1458,201,640,1123,100,136,0.983,Philadelphia Phillies,Veterans Stadium,1612769,100,101,PHI,PHI,PHI
2000,NL,PIT,PIT,C,5,162,81,69,93,N,N,N,N,793,5643,1506,987,320,31,168,564,1032,86,40,66,37,0.26687932,0.338510301,0.423888003,0.762398304,888,795,4.94,96.26933576,5,7,27,4347,1554,163,711,1070,132,169,0.979,Pittsburgh Pirates,Three Rivers Stadium,1748908,99,100,PIT,PIT,PIT
2000,NL,SDN,SDP,W,5,162,81,76,86,N,N,N,N,752,5560,1413,940,279,37,157,602,1177,131,53,46,43,0.254136691,0.329707247,0.402338129,0.732045376,815,733,4.52,96.83537177,5,5,46,4378,1443,191,649,1071,141,155,0.977,San Diego Padres,Qualcomm Stadium,2352443,92,92,SDP,SDN,SDN
2000,AL,SEA,SEA,W,2,162,81,91,71,N,Y,N,N,907,5497,1481,957,300,26,198,775,1073,122,56,48,61,0.269419683,0.361071932,0.441513553,0.802585485,780,720,4.49,98.62202724,4,10,44,4325,1442,167,634,998,99,176,0.984,Seattle Mariners,Safeco Field,2914624,95,93,SEA,SEA,SEA
2000,NL,SFN,SFG,W,1,162,81,97,65,Y,N,N,N,925,5519,1535,961,304,44,226,709,1032,79,39,51,66,0.278130096,0.361702128,0.472005798,0.833707926,747,675,4.21,103.9108219,9,15,47,4333,1452,151,623,1076,93,173,0.985,San Francisco Giants,PacBell Park,3318800,93,92,SFG,SFN,SFN
2000,NL,SLN,STL,C,1,162,81,95,67,Y,N,N,N,887,5478,1481,962,259,25,235,675,1253,87,51,84,53,0.270354144,0.356120827,0.455458196,0.811579023,771,698,4.38,108.9388886,10,7,37,4301,1403,196,606,1100,111,148,0.981,St. Louis Cardinals,Busch Stadium II,3336493,102,101,STL,SLN,SLN
2000,AL,TBA,TBD,E,5,161,80,69,92,N,N,N,N,733,5505,1414,977,253,22,162,558,1022,90,46,51,40,0.256857402,0.328729282,0.399091735,0.727821017,842,773,4.86,97.94918457,10,8,38,4294,1553,198,533,955,118,169,0.981,Tampa Bay Devil Rays,Tropicana Field,1449673,99,100,TBD,TBA,TBA
